x1,y1
Z,Z
16.7380009,18.6959991
17.6599998,18.7119999
Z,Z
14.4619999,18.6550007
16.7380009,18.6959991
Z,Z
12.7938805,18.6161308
14.4619999,18.6550007
Z,Z
11.5998764,18.5883083
12.7938805,18.6161308
Z,Z
10.971961,18.5736771
11.5998764,18.5883083
Z,Z
10.7959166,18.5695744
10.971961,18.5736771
Z,Z
8.533,18.5240002
10.7959166,18.5695744
Z,Z
7.3639998,18.4990005
8.533,18.5240002
Z,Z
6.7030001,18.4850006
7.3639998,18.4990005
Z,Z
6.4789462,18.4790497
6.7030001,18.4850006
Z,Z
4.9920001,18.441
6.4789462,18.4790497
Z,Z
3.3900001,18.3969994
4.9920001,18.441
Z,Z
9.6827154,18.2092381
10.7959166,18.5695744
Z,Z
17.6599998,18.7119999
19.4839993,18.7250004
19.5030003,18.1189995
Z,Z
8.6569996,18.0890007
8.533,18.5240002
Z,Z
5.0978222,18.0533352
6.4789462,18.4790497