street,n,x1,y1
1,2,16.7380009,18.6959991
1,2,17.6599998,18.7119999
2,2,14.4619999,18.6550007
2,2,16.7380009,18.6959991
3,2,12.7938805,18.6161308
3,2,14.4619999,18.6550007
4,2,11.5998764,18.5883083
4,2,12.7938805,18.6161308
5,2,10.971961,18.5736771
5,2,11.5998764,18.5883083
6,2,10.7959166,18.5695744
6,2,10.971961,18.5736771
7,2,8.533,18.5240002
7,2,10.7959166,18.5695744
8,2,7.3639998,18.4990005
8,2,8.533,18.5240002
9,2,6.7030001,18.4850006
9,2,7.3639998,18.4990005
10,2,6.4789462,18.4790497
10,2,6.7030001,18.4850006